iter	MultiClass
209	0.225133737
210	0.2244931673
211	0.2239230844
212	0.2230413227
213	0.2227879044
214	0.2222069496
215	0.2214754189
216	0.2204983512
217	0.2195914051
218	0.2190887981
219	0.2185464875
220	0.217578562
221	0.2168483528
222	0.2162662699
223	0.215680677
224	0.2152737679
225	0.213896641
226	0.2132560196
227	0.212541933
228	0.2121503664
229	0.2117352601
230	0.2111659298
231	0.2105563923
232	0.2098227251
233	0.2091462651
234	0.2086910441
235	0.2080982228
236	0.2076008356
237	0.2072091414
238	0.2064556039
239	0.2055999942
240	0.204967618
241	0.2045535539
242	0.2042748636
243	0.2033900399
244	0.2025925348
245	0.2016971597
246	0.2013378258
247	0.2007735641
248	0.1997863112
249	0.1988245892
250	0.1980650043
251	0.1977161286
252	0.1974785101
253	0.1971732103
254	0.1965197444
255	0.1960674376
256	0.1948777085
257	0.1942802103
258	0.19373768
259	0.1931464353
260	0.1923551752
261	0.1918789135
262	0.1914508237
263	0.1910087689
264	0.1904238588
265	0.1899287381
266	0.1895924409
267	0.1891342839
268	0.1888140908
269	0.1883674247
270	0.1875474946
271	0.1870248837
272	0.1862268243
273	0.1855004188
274	0.1851875308
275	0.1848466887
276	0.1837915087
277	0.1830573954
278	0.1825448266
279	0.182221287
280	0.1815697289
281	0.1808821425
282	0.1800336908
283	0.1791526069
284	0.1787232203
285	0.1783176862
286	0.1778148298
287	0.1775152485
288	0.1768953535
289	0.1764098406
290	0.1761162182
291	0.1759112317
292	0.1754595383
293	0.174924638
294	0.1744073798
295	0.1739616836
296	0.1736307061
297	0.1730659754
298	0.1725785497
299	0.1722179037
300	0.1718240906
301	0.1711808179
302	0.1709130938
303	0.17057228
304	0.1697581295
305	0.1693782302
306	0.1690739338
307	0.1684797274
308	0.1682508686
309	0.1675221741
310	0.1669007564
311	0.1666954565
312	0.1662329357
313	0.1656889317
314	0.1654684902
315	0.1650752437
316	0.1647454865
317	0.1639101097
318	0.1636028226
319	0.1633715495
320	0.1628276753
321	0.1618989839
322	0.1615559433
323	0.1611497635
324	0.1608945921
325	0.1605657634
326	0.1599304189
327	0.1596239696
328	0.1591368106
329	0.1587505157
330	0.1583523881
331	0.1577145764
332	0.1574532161
333	0.1567341801
334	0.1564446588
335	0.1559698175
336	0.1554752072
337	0.1551892356
338	0.1545751397
339	0.1541611587
340	0.1536451168
341	0.1532160294
342	0.1529566678
343	0.1525638201
344	0.1519882217
345	0.1516691437
346	0.1514226365
347	0.1510007363
348	0.1507399743
349	0.1499424232
350	0.1498363709
351	0.1495675238
352	0.1492325283
353	0.1489269808
354	0.1483625741
355	0.1481032443
356	0.147651731
357	0.1473821244
358	0.1469909302
359	0.1467466406
360	0.1463485022
361	0.1460773406
362	0.1457970513
363	0.1454335261
364	0.1446530194
365	0.1444021663
366	0.144195306
367	0.1437480975
368	0.143633115
369	0.14325915
370	0.142890282
371	0.1425023403
372	0.1421109943
373	0.1418450805
374	0.1416267323
375	0.1412606388
376	0.1409950058
377	0.1406690407
378	0.1402290307
379	0.1400307029
380	0.1398053317
381	0.1394896235
382	0.1392837733
383	0.1390186374
384	0.1385444846
385	0.138167162
386	0.1379493916
387	0.1377610728
388	0.1374957747
389	0.1371875998
390	0.1369763385
391	0.1366114416
392	0.1362682345
393	0.1357684396
394	0.1354705011
395	0.135382497
396	0.1350931908
397	0.1348586862
398	0.1345589479
399	0.1342364707
400	0.1338728356
401	0.1334649698
402	0.1331011413
403	0.1327784898
404	0.1324355561
405	0.1322469857
406	0.1318280023
407	0.131679947
408	0.1314424115
409	0.1312664562
410	0.1308266125
411	0.1305816544
412	0.1304001388
413	0.130237594
414	0.1299688413
415	0.1293210001
416	0.1291179959
417	0.1289023618
418	0.1287424081
419	0.1284681321
420	0.1280525534
421	0.1278824939
422	0.1277153405
423	0.1274566803
424	0.1272235757
425	0.1270437669
426	0.1267305514
427	0.1262625006
428	0.1260999042
429	0.1258576995
430	0.1255678085
431	0.1253032327
432	0.1250034109
433	0.124680713
434	0.1241776418
435	0.1240693977
436	0.1239234969
437	0.1237438584
438	0.1233404268
439	0.1231207695
440	0.1228997057
441	0.1225288252
442	0.1221710255
443	0.1220133488
444	0.1215891144
445	0.1211426937
446	0.1209904163
447	0.1207331552
448	0.1206354293
449	0.1205518787
450	0.1203876842
451	0.1202600891
452	0.1201189896
453	0.1200244208
454	0.1198615945
455	0.1196875806
456	0.1192885728
457	0.1189759993
458	0.1185886911
459	0.1183580797
460	0.1181289289
461	0.1179312874
462	0.1177897424
463	0.1176224899
464	0.1173364501
465	0.1171323861
466	0.1168812739
467	0.1167082673
468	0.1162970192
469	0.1161571757
470	0.1160439231
471	0.1157974634
472	0.1155195893
473	0.1153391579
474	0.1151477748
475	0.115009345
476	0.1147511041
477	0.1146094554
478	0.1143897084
479	0.1142232126
480	0.1140875075
481	0.11390345
482	0.1137060624
483	0.1136266243
484	0.1134723679
485	0.113311975
486	0.1132403224
487	0.1130692965
488	0.1129906168
489	0.1127828452
490	0.1125376209
491	0.1123474357
492	0.1122478859
493	0.1120846857
494	0.1119996978
495	0.1117953685
496	0.1115094361
497	0.1112874556
498	0.111226385
499	0.1109512862
500	0.1106959057
501	0.1102597626
502	0.1100062516
503	0.1098471403
504	0.1097004592
505	0.1095966293
506	0.1094693374
507	0.1093528608
508	0.1089977164
509	0.1087738606
510	0.1085975969
511	0.1083909008
512	0.1080764684
513	0.1078738859
514	0.1077256238
515	0.1076379667
516	0.1074359133
517	0.1070893916
518	0.1069760252
519	0.106896646
520	0.1064593693
521	0.1063472792
522	0.1059988824
523	0.105944713
524	0.1058460864
525	0.1055577063
526	0.105423809
527	0.105278477
528	0.105184087
529	0.1049953646
530	0.1049145567
531	0.1045042207
532	0.1043386193
533	0.104229857
534	0.1040553194
535	0.1039339456
536	0.10376865
537	0.1035928823
538	0.1035002882
539	0.1032574263
540	0.1031208311
541	0.1029446277
542	0.1028335461
543	0.1027758871
544	0.1025229632
545	0.10229695
546	0.1020748509
547	0.1017826796
548	0.1016936535
549	0.101542194
550	0.1012065207
551	0.1009786126
552	0.1007294127
553	0.1005587228
554	0.1003318149
555	0.1002181406
556	0.1000107123
557	0.09957111554
558	0.0994774555
559	0.0993040205
560	0.09909619149
561	0.0989577995
562	0.09878546879
563	0.09856460764
564	0.09835873972
565	0.09819840235
566	0.09796087505
567	0.09778610511
568	0.09736778112
569	0.09727486046
570	0.09719354982
571	0.09709125258
572	0.09690284509
573	0.09677194367
574	0.09652880249
575	0.09624259481
576	0.09615149189
577	0.09596626362
578	0.09577501649
579	0.09563920174
580	0.09552623047
581	0.09541393371
582	0.09529767002
583	0.09515625349
584	0.09509411117
585	0.09499725632
586	0.0947620086
587	0.09468055598
588	0.09460390654
589	0.09453567685
590	0.09439794399
591	0.09419940462
592	0.09405226264
593	0.09389655489
594	0.09371724882
595	0.09351830299
596	0.09336644975
597	0.09320319501
598	0.09303143627
599	0.09275401863
600	0.0926532387
601	0.09243215237
602	0.09228060089
603	0.09216573293
604	0.09208748759
605	0.09196367697
606	0.09179071224
607	0.09160230415
608	0.09151722651
609	0.09140710655
610	0.09134444154
611	0.09123863396
612	0.09104583933
613	0.09089477677
614	0.09058844617
615	0.09047599123
616	0.09037489397
617	0.09020294335
618	0.09008304751
619	0.08999005873
620	0.08994308198
621	0.08981457234
622	0.08963187069
623	0.08950509664
624	0.08938141589
625	0.0892805117
626	0.08916398394
627	0.08897182677
628	0.08889223861
629	0.08880915987
630	0.08862781583
631	0.08837260262
632	0.08813220724
633	0.08805351357
634	0.08789253384
635	0.08781380919
636	0.08768524135
637	0.0874201897
638	0.0873005506
639	0.08703187667
640	0.08693003938
641	0.08678872865
642	0.08673926142
643	0.08639520961
644	0.08615390883
645	0.08600553112
646	0.0859340828
647	0.08582839072
648	0.08568839218
649	0.08553370723
650	0.08526111928
651	0.08519245557
652	0.08501649687
653	0.08489220061
654	0.0847661728
655	0.08467200157
656	0.08451384963
657	0.0843163782
658	0.08424502313
659	0.08412187618
660	0.08395806975
661	0.08376601891
662	0.08365257055
663	0.08351045051
664	0.08330681992
665	0.08310389056
666	0.08297804938
667	0.08289862361
668	0.08285573993
669	0.08278111491
670	0.08263609577
671	0.08251147195
672	0.0824390071
673	0.08238604707
674	0.0822473245
675	0.08214311939
676	0.08196238708
677	0.08181834726
678	0.08174726304
679	0.08168740321
680	0.08154547663
681	0.08139102
682	0.08125950658
683	0.08115516876
684	0.08102242619
685	0.08090714255
686	0.08080734764
687	0.08055295885
688	0.08042702999
689	0.08039444401
690	0.08021627132
691	0.08008039941
692	0.08000642312
693	0.07996048512
694	0.07986295505
695	0.07976097852
696	0.07965093891
697	0.07951807539
698	0.07926890864
699	0.07918815224
700	0.0791280789
701	0.07892388208
702	0.07886228079
703	0.07871239695
704	0.0786268745
705	0.07852384197
706	0.07843239546
707	0.07823497353
708	0.0781854448
709	0.07794306984
710	0.07785816505
711	0.07775831478
712	0.07770706596
713	0.07761598858
714	0.07746052984
715	0.07732575207
716	0.07721795625
717	0.07715125134
718	0.07704593792
719	0.07691284933
720	0.07683951361
721	0.07673590652
722	0.07660454988
723	0.07640022258
724	0.07630477749
725	0.07617310685
726	0.07611077073
727	0.07592890706
728	0.07568225364
729	0.07560368437
730	0.07548012923
731	0.07537991489
732	0.07521211667
733	0.07509941523
734	0.07501019103
735	0.07492033533
736	0.07486670757
737	0.07479208348
738	0.07471496541
739	0.07456060739
740	0.07448355146
741	0.07440481612
742	0.07433497931
743	0.0742750337
744	0.07414738487
745	0.07410450894
746	0.07402771087
747	0.07392348729
748	0.07381364413
749	0.07378068988
750	0.07371365283
751	0.07366703807
752	0.07355338218
753	0.07348173102
754	0.07336223783
755	0.07327528569
756	0.07316073316
757	0.07312931933
758	0.07307518643
759	0.07294006738
760	0.0728222726
761	0.07269305175
762	0.07262566648
763	0.07252717932
764	0.07238730447
765	0.07227624769
766	0.07221303405
767	0.07209263099
768	0.07201462339
769	0.07198049555
770	0.07192873156
771	0.07178965725
772	0.071635978
773	0.07150735849
774	0.07143685171
775	0.07130368332
776	0.07115459285
777	0.07094852735
778	0.07086462976
779	0.07082417506
780	0.07077636858
781	0.07069321831
782	0.07057208226
783	0.07045726744
784	0.07039612206
785	0.07030705166
786	0.07024853972
787	0.07014971371
788	0.0700665297
789	0.06989602884
790	0.06985456335
791	0.06976030682
792	0.06968258021
793	0.06958568593
794	0.06950716744
795	0.06944937988
796	0.06938477722
797	0.06907649167
798	0.06891287758
799	0.06879440635
800	0.06874702152
801	0.06870566736
802	0.06864079639
803	0.06861184498
804	0.0685365459
805	0.06844382562
806	0.06840998724
807	0.06836784042
808	0.06827213544
809	0.06815201978
810	0.06806337892
811	0.06797843156
812	0.06789055576
813	0.06784266666
814	0.06774628105
815	0.0676680649
816	0.06754855596
817	0.06751602835
818	0.06746123152
819	0.06740312193
820	0.06719195741
821	0.06711638782
822	0.06708111503
823	0.06693489143
824	0.0668368411
825	0.0667732397
826	0.06664467315
827	0.06660256075
828	0.06645922494
829	0.06638947349
830	0.06631727721
831	0.06622906363
832	0.06613889294
833	0.06608707094
834	0.06604256706
835	0.06594723237
836	0.06584742616
837	0.0657816165
838	0.06571877376
839	0.06568279176
840	0.06565791475
841	0.06560710942
842	0.06554909033
843	0.06543935111
844	0.06536622754
845	0.06528745106
846	0.06523475232
847	0.0652081613
848	0.06513070814
849	0.06506599542
850	0.0649547415
851	0.06484751217
852	0.0647897052
853	0.06471600054
854	0.06467940032
855	0.06453897557
856	0.06449032298
857	0.06440823923
858	0.0643524783
859	0.06430452864
860	0.06420662949
861	0.06417252529
862	0.06410148025
863	0.06405678765
864	0.06396938009
865	0.06393059216
866	0.06388296131
867	0.06380444345
868	0.06363273307
869	0.06358226693
870	0.06352813801
871	0.06346449859
872	0.06336218471
873	0.06329410743
874	0.06319199331
875	0.06314645094
876	0.06311335496
877	0.06301912569
878	0.06295801328
879	0.06282143961
880	0.06268222117
881	0.06263453742
882	0.0625537996
883	0.06249316433
884	0.06239105961
885	0.06235047729
886	0.06223431535
887	0.06215844419
888	0.06209859685
889	0.06199602578
890	0.0619503007
891	0.06187224727
892	0.06178548197
893	0.06165419097
894	0.06156688913
895	0.06150686332
896	0.06144096897
897	0.06130410067
898	0.06124659595
899	0.06119208537
900	0.061165632
901	0.0610622485
902	0.06102597856
903	0.06096004433
904	0.06091650338
905	0.06085970914
906	0.06082033902
907	0.06076624249
908	0.06073551466
909	0.0607092139
910	0.06060560555
911	0.06055404002
912	0.0605400655
913	0.06048987581
914	0.06045689096
915	0.06038186424
916	0.06026251196
917	0.06021686204
918	0.06016905035
919	0.06009638837
920	0.06006033481
921	0.06002590747
922	0.0599592679
923	0.05986513173
924	0.05983381012
925	0.05979821291
926	0.05974501619
927	0.05965917521
928	0.05961328573
929	0.05957400079
930	0.05953640425
931	0.05947505845
932	0.059414939
933	0.05932354517
934	0.05924304411
935	0.05920448372
936	0.05916246282
937	0.05905269166
938	0.05897794473
939	0.05894408912
940	0.05887866339
941	0.05882663457
942	0.05875891359
943	0.05867538676
944	0.05858244533
945	0.05853705961
946	0.0585023805
947	0.05840488902
948	0.05833860862
949	0.05824636934
950	0.05816667922
951	0.05810792651
952	0.058078519
953	0.05798088727
954	0.05791889668
955	0.05785736164
956	0.05778724646
957	0.05768230276
958	0.05762869122
959	0.05754223482
960	0.05750139528
961	0.0574143589
962	0.05728682111
963	0.05725172361
964	0.05722478734
965	0.05718796897
966	0.05714302621
967	0.05711588528
968	0.05698661356
969	0.0569205708
970	0.05689290322
971	0.05678648228
972	0.05672297662
973	0.05664056617
974	0.05660443327
975	0.05656033014
976	0.0565091543
977	0.05640055125
978	0.05634651297
979	0.05629545522
980	0.05626856042
981	0.05618892699
982	0.05608176877
983	0.0559802317
984	0.05590994722
985	0.05583446611
986	0.05579374208
987	0.05566115142
988	0.05556195335
989	0.05548449204
990	0.05539495444
991	0.05532640183
992	0.05528583362
993	0.05524184662
994	0.05516291892
995	0.05511236556
996	0.05507663534
997	0.05502959252
998	0.05488555648
999	0.05486235046
